item_id,category,price,avg_buy_time_s,matches,players,phase
7409189,Spirit,1600,825.1323889948243,7342,3304,mid
26002154,Weapon,1600,610.7,320,224,mid
84321454,Spirit,1600,869.7798513625103,12110,3844,mid
98582110,Weapon,1600,726.844696969697,264,154,mid
112198670,Vitality,1600,849.3932077474132,3769,2216,mid
334300056,Vitality,3200,1331.4583063994828,3094,1599,late
339443430,Weapon,6400,2148.332443257677,1498,979,late
343572757,Spirit,6400,1938.8255319148936,235,127,late
365620721,Weapon,6400,1639.4041601866252,5144,2239,late
380806748,Spirit,1600,1196.4591224018475,2165,952,mid
381961617,Weapon,1600,466.46326627117185,93048,24436,early
393974127,Weapon,1600,703.6152988442683,56501,16831,mid
395867183,Weapon,1600,841.6553901668922,2217,1241,mid
465043967,Spirit,800,480.73846153846154,325,222,early
493591231,Spirit,6400,1969.3649635036497,137,84,late
499683006,Vitality,1600,782.9091724034893,87011,23428,mid
600033864,Vitality,3200,1314.3333333333333,45,28,late
619484391,Spirit,3200,990.2739551012959,5479,2575,mid
630839635,Spirit,6400,1617.3428892636312,1779,922,late
668299740,Weapon,800,267.9792132905905,99198,25373,early
673001892,Weapon,6400,2175.3213535589266,4285,2778,late
677738769,Spirit,6400,2425.717391304348,138,114,late
709540378,Weapon,3200,616.7770700636943,2826,1291,mid
710436191,Weapon,6400,1546.1765446131362,24634,9134,late
754480263,Spirit,800,1208.831184056272,853,412,late
787198704,Spirit,3200,1618.4706166868198,4135,1816,late
800008313,Weapon,6400,1544.017391304348,115,96,late
805079544,Vitality,1600,862.4944649446494,271,214,mid
811521119,Weapon,3200,1154.895598617996,33285,11606,mid
857669956,Vitality,1600,1617.2315789473685,95,87,late
865846625,Vitality,6400,1797.8073624017154,2798,1354,late
865958998,Vitality,3200,1104.0727272727272,110,64,mid
876563814,Vitality,1600,1588.9857853589197,1407,781,late
915014646,Spirit,6400,1970.1062124248497,998,535,late
951866250,Vitality,6400,1816.1425717140003,7007,3778,late
968099481,Spirit,800,353.48320860358115,90195,24116,early
989206714,Weapon,3200,1471.7534246575342,2044,1066,late
1009965641,Weapon,800,302.8350488934637,7772,3365,early
1047818222,Vitality,1600,1706.8558506543495,15588,7235,late
1055679805,Vitality,6400,1673.5721219475201,26372,10150,late
1102081447,Spirit,1600,1148.6346666666666,375,190,mid
1113837674,Weapon,6400,1815.3519592754824,33788,12925,late
1144549437,Weapon,1600,1276.4146341463415,123,78,late
1150006784,Spirit,1600,1018.8392857142857,168,92,mid
1152158042,Spirit,6400,2183.2186234817814,247,202,late
1193964439,Spirit,3200,1720.4805914972274,541,263,late
1219329868,Spirit,1600,1232.28,1275,659,late
1235347618,Vitality,1600,586.7879100341561,15517,6298,early
1250307611,Vitality,6400,2070.200086244071,2319,1597,late
1252627263,Vitality,3200,1093.7085714285715,175,128,mid
1254091416,Spirit,3200,1429.2012578616352,477,363,late
1282141666,Vitality,6400,1794.8258781905483,15828,7528,late
1292979587,Spirit,3200,1005.0643428905942,78579,21468,mid
1342610602,Weapon,800,644.3625180897251,1382,614,mid
1371725689,Vitality,6400,1948.2094240837696,573,367,late
1378931225,Vitality,3200,1682.1540880503144,2226,1783,late
1396247347,Weapon,6400,1871.513846153846,13000,6107,late
1409190604,Vitality,3200,953.6482503197724,52381,15496,mid
1414025773,Vitality,3200,1424.754420822571,5033,3177,late
1414319208,Weapon,3200,1424.0,111,49,late
1427630806,Vitality,6400,1890.387989778535,2348,1250,late
1437614329,Vitality,800,324.1892744479495,317,226,early
1439347412,Spirit,800,517.8828125,128,43,early
1548066885,Weapon,800,463.8088731961928,13028,4910,early
1644605047,Vitality,1600,1189.2825918118274,9013,4763,mid
1662311306,Vitality,6400,2030.5737704918033,122,112,late
1672893796,Vitality,800,734.073344169037,4922,2740,mid
1710079648,Vitality,800,273.3403233708966,10205,5216,early
1763073141,Weapon,1600,1077.5673076923076,104,51,mid
1770441818,Weapon,1600,1118.2764097333527,27452,10706,mid
1798666702,Weapon,3200,1273.2551020408164,98,82,late
1804594021,Vitality,3200,1354.52,50,42,late
1813726886,Spirit,1600,733.5348569732497,80859,22190,mid
1925087134,Spirit,1600,1169.5677419354838,155,112,mid
1932939246,Weapon,3200,1474.6349206349207,63,56,late
1955841979,Vitality,6400,2097.0301519468185,4212,2973,late
1976391348,Spirit,1600,711.8892988929889,542,196,mid
1998374645,Spirit,800,701.9347908028647,2653,1512,mid
2010028405,Weapon,800,413.22280570142533,3999,1833,early
2037039379,Vitality,6400,1956.8729142086634,11866,6043,late
2059712766,Vitality,1600,744.2204724409448,127,97,mid
2061878743,Spirit,3200,1427.566037735849,1325,932,late
2064029594,Weapon,1600,362.8508487958942,37995,11741,early
2081037738,Spirit,1600,1474.9911111111112,225,98,late
2095565695,Weapon,3200,1283.4160700079553,1257,529,late
2108215830,Weapon,3200,1381.9531914893616,2350,1322,late
2121044373,Spirit,3200,1362.409130060293,2322,1338,late
2142980412,Spirit,6400,1462.6640906749099,1941,960,late
2152872419,Weapon,3200,1226.2362637362637,364,184,late
2163598980,Vitality,3200,1617.8817026276436,18724,8532,late
2221211450,Weapon,6400,1813.2806236080178,1347,763,late
2226497419,Weapon,6400,1902.8635247913599,2037,941,late
2356412290,Weapon,1600,656.976627348187,13734,4824,mid
2407033488,Weapon,1600,793.5177304964539,1269,611,mid
2407781327,Vitality,6400,2012.197080291971,137,114,late
2447176615,Vitality,1600,885.4438123689062,31466,10904,mid
2462046703,Spirit,800,103.31320530588002,5051,1846,early
2463960640,Weapon,3200,1497.4068917507832,2873,1736,late
2480592370,Weapon,6400,1450.0828151580924,68188,20090,late
2481177645,Weapon,3200,1308.2307692307693,2821,1105,late
2519598785,Spirit,6400,1846.6201975850713,2733,1517,late
2533252781,Spirit,6400,2068.541176470588,85,67,late
2566692615,Vitality,1600,1503.3837375178316,2103,1133,late
2603935618,Vitality,1600,1164.8171926006528,919,538,mid
2617435668,Spirit,6400,1559.656993938684,34151,11460,late
2678489038,Weapon,3200,1302.6058890147226,883,363,late
2717651715,Spirit,3200,1455.947382144347,19176,7439,late
2739107182,Weapon,3200,1162.194144471042,92323,24255,mid
2800629741,Spirit,6400,1585.4666666666667,435,196,late
2820116164,Vitality,6400,2129.231638418079,354,245,late
2829638276,Vitality,800,237.62863199900238,24057,8988,early
2922054143,Spirit,800,659.9256871807346,8222,3498,mid
2947183272,Spirit,3200,1446.857142857143,77,31,late
2951612397,Spirit,1600,1316.7453451194283,10634,4876,late
2971868509,Spirit,1600,1097.0224344317417,37175,12667,mid
3005970438,Spirit,6400,1865.56875,160,67,late
3028234315,Vitality,6400,2112.8275862068967,116,82,late
3074274290,Vitality,1600,497.0389741859288,5927,2256,early
3077079169,Weapon,800,331.41957133578694,32333,10689,early
3140772621,Vitality,3200,1682.4613583138173,854,688,late
3144988365,Spirit,3200,1335.123287671233,73,56,late
3190916303,Spirit,3200,1224.2064220183486,218,153,late
3261353684,Spirit,3200,1671.5799331103678,1495,783,late
3270001687,Vitality,3200,1168.7573315671339,27177,9625,mid
3294954488,Weapon,3200,1636.9825708061003,459,257,late
3331811235,Weapon,1600,820.992337164751,261,142,mid
3357231760,Vitality,6400,1878.3401199154553,23183,9841,late
3361075077,Vitality,1600,1285.0373134328358,134,114,late
3361811174,Vitality,6400,2214.978181818182,275,186,late
3399065363,Vitality,800,564.4448694372932,27190,9782,early
3403085434,Weapon,1600,876.5424100156495,3195,980,mid
3491236900,Vitality,6400,2086.330515638208,1183,918,late
3577481646,Spirit,6400,1946.7096774193549,155,91,late
3585132399,Vitality,3200,1219.0481738740757,40167,13397,late
3633614685,Vitality,800,355.2941409615716,58030,17766,early
3647584222,Weapon,1600,1247.3870967741937,31,28,late
3696726732,Weapon,3200,1432.2976471429592,13983,5850,late
3731635960,Vitality,3200,1414.0693350831145,4572,3205,late
3776945997,Spirit,800,1348.0326203208556,3740,1757,late
3791587546,Weapon,3200,1555.0960841189267,8274,3804,late
3812615317,Spirit,6400,1718.3619402985075,268,88,late
3862866912,Weapon,800,145.66002391390992,2509,1088,early
3884003354,Weapon,6400,1851.4023439859843,16553,7836,late
3919289022,Spirit,6400,1734.2846849392483,7078,2846,late
3970837787,Vitality,1600,846.1926899107293,5937,2785,mid
3977876567,Weapon,1600,771.7037852994192,9986,3720,mid
4053935515,Weapon,3200,1041.330297029703,2525,1393,mid
4075861416,Weapon,3200,1638.5897435897436,78,51,late
4104549924,Weapon,1600,406.1653534420847,97470,25172,early
4139877411,Vitality,800,690.2896459995908,9774,4270,mid
4204808176,Vitality,800,327.11019283746555,1452,858,early
